id|groupe|nom|ministère_interrogé|rubrique|titre|date|question
944|Libertés, Indépendants, Outre-mer et Territoires|M. Christophe Naegelen|Travail, plein emploi et insertion|travailleurs indépendants et autoentrepreneur|Situation des travailleurs indépendants : crise sanitaire et départ en retraite|23/08/2022|M. Christophe Naegelen appelle l'attention de M. le ministre du travail, du plein emploi et de l'insertion, sur la situation des travailleurs indépendants au regard de la crise sanitaire et du calcul de l'âge de départ en retraite. En effet, certains indépendants n'ont pas pu cotiser durant des périodes d'inactivité imposées par les mesures sanitaires. En l'absence de cotisations, les trimestres concernés n'ont quant à eux pas été validés au titre du calcul de l'âge de départ à la retraite. Certains indépendants n'ont en outre pas pu atteindre le salaire brut annuel nécessaire à la validation de 4 trimestres et ce en raison d'impayés dus eux aussi à la crise sanitaire. Ces causes auront pour conséquence un recul de l'âge de départ à la retraite de ces indépendants, qui subissent là une injustice forte eu égard au contexte actuel de réforme annoncée des retraites. En effet, les indépendants sont soumis à un régime de validation des trimestres plus strict que d'autres catégories professionnelles. Il demande donc quelles mesures le Gouvernement prévoit de mettre en place pour tenir compte de la situation des travailleurs indépendants dont certains trimestres n'ont pas pu être validés.
945|Rassemblement National|M. Pierrick Berteloot|Agriculture et souveraineté alimentaire|agriculture|Rémunération des producteurs de lait - application de la loi EGalim 2|30/08/2022|M. Pierrick Berteloot appelle l'attention de M. le ministre de l'agriculture et de la souveraineté alimentaire sur l'application incomplète de la loi EGalim 2. Cela fait longtemps que la filière laitière est en crise et que de nombreux producteurs de lait ne sont toujours pas rémunérés à leur juste valeur. Et ce, malgré des appels répétés au Gouvernement, aussi bien à travers la voix de leurs députés que par des manifestations, comme récemment à Bailleul. Les exploitants, notamment dans le département du Nord, attendent toujours que la loi EGalim soit véritablement respectée. Dans un contexte d'inflation et de hausse continue des charges, le prix du litre de lait versé aux producteurs est insuffisant pour leur permettre de vivre dignement de leur activité et de supporter leurs coûts de production. Cela fait des années que la filière laitière est en souffrance ; elle est désormais à l'agonie et son avenir est devenu une urgence vitale. Le non-respect de la loi n'est pas tolérable au regard de la gravité de la situation et impose une réponse immédiate de la part du Gouvernement. Dans ce contexte de crise de la filière agricole, il lui demande s'il va appliquer, sans délai, la loi EGalim 2 et enfin garantir une juste rémunération aux producteurs.
946|Rassemblement National|Mme Anne-Sophie Frigout|Transition écologique et cohésion des territoires|automobiles|Non à la ZFE de Reims|30/08/2022|Mme Anne-Sophie Frigout interroge M. le ministre de la transition écologique et de la cohésion des territoires sur la multiplication des zones à faibles émissions mobilité (ZFE-m) dans de nombreuses grandes villes françaises. Elles seront obligatoires, dans les agglomérations de plus de 150 000 habitants, d'ici le 31 décembre 2024. Une partie des modalités d'application est laissée à l'appréciation de l'autorité qui dispose du pouvoir de police de la circulation. Celle-ci peut moduler les plages et les jours d'application ou encore accorder des dérogations individuelles. Toutefois, certaines collectivités ont anticipé le calendrier en se montrant particulièrement zélées. C'est notamment le cas à Reims où des restrictions sont en vigueur depuis près d'un an pour les véhicules disposant d'une vignette Crit'Air 5. À partir du 1er septembre 2022, elles seront renforcées puisque les véhicules dotés d'une vignette Crit'Air 4 auront à leur tour interdiction de circuler à l'intérieur d'un large périmètre. Cette décision risque fortement de pénaliser ceux qui se rendent dans l'agglomération pour le travail ou d'autres activités personnelles. Concrètement, plus d'un véhicule sur dix sera exclu du centre-ville et de la traversée urbaine sous peine de faire l'objet d'une verbalisation immédiate. Cela est d'autant plus problématique qu'un nombre particulièrement important d'automobilistes découvrent les conséquences que ces zones à faibles émissions auront sur leur quotidien. Il faut noter, également, que les véhicules disposant d'une vignette Crit'Air 3 seront concernés dans seulement quelques mois mais que la publicité sur cette perspective est particulièrement discrète. Au moment où l'effet de l'inflation galopante se fait de plus en plus ressentir et alors que la Banque de France lui apprend que le nombre d'incidents de paiements a bondi de 30 % au premier semestre 2022, il n'est pas envisageable d'obliger une partie des concitoyens à changer de voiture. C'est pourquoi elle lui demande de cesser de pointer du doigt les automobilistes mais aussi de refuser d'appliquer cette énième règlementation européenne déconnectée du quotidien des concitoyens.
947|Rassemblement National|M. Frédéric Cabrolier|Économie, finances, souveraineté industrielle et numérique|banques et établissements financiers|Au sujet des entraves à la liberté d'exercice des courtiers en crédit|30/08/2022|M. Frédéric Cabrolier alerte M. le ministre de l'économie, des finances et de la souveraineté industrielle et numérique sur les 34 000 intermédiaires en opérations de banque, appelés communément courtiers en crédit, quant aux entraves à leur liberté d'exercice dont les consommateurs sont les premiers lésés. Les courtiers sont une profession très règlementée, contrôlée, agrée et qui sont mandatés par leur client pour les conseiller au mieux dans la recherche de leur financement. Les consommateurs ne s'y trompent pas et sont de plus en plus nombreux à solliciter des courtiers (40 % en 2021 des prêts ont été consentis par leur intermédiaire). Or depuis 2019, face à ce qu'elle juge comme de la concurrence, certaines banques ont décidé de refuser tout dossier de client choisissant d'être conseillés par un courtier. Pourtant il est interdit à un établissement de crédit agréé de refuser d'instruire la demande de prêt formulée par un consommateur, car il est « interdit le fait de refuser à un consommateur la vente d'un produit ou la prestation d'un service, sauf motif légitime » (article L. 121-11 du code de la consommation). Or l'instruction d'une demande de crédit immobilier constitue une prestation de service (art. R. 313-22 du code de la consommation). Sollicité récemment, le ministère de l'économie a reconnu l'utilité des courtiers pour le consommateur et la nécessité de sanctionner les mauvaises pratiques bancaires, pourtant : l'ACPR qui est l'autorité de tutelle commune aux banques et courtiers reste sourde face au non-respect de la loi par les établissements bancaires au motif que cela relève de l'autorité de la concurrence, l'autorité de la concurrence qui devrait sanctionner cette entrave à l'exercice de la profession des courtiers reste sourde malgré plus de 40 signalements d'infraction. Pourquoi donc le ministère des finances ne rappelle-t-il pas aux banques l'illégalité de leur attitude en les informant que tout refus de dossier motivé par la présence d'un courtier doit être sanctionné ? Pourquoi lors de la dernière réforme du courtage ne pas avoir en préambule rappelé que nul ne peut empêcher les courtiers d'exercer ? Enfin il lui demande pourquoi les pouvoirs publics que sont la Banque de France, l'ACPR, l'ORIAS, l'AMF ou encore le Trésor refusent de prendre en considération les demandes de cette profession.
948|Rassemblement National|Mme Sophie Blanc|Agriculture et souveraineté alimentaire|bois et forêts|Modalité de gouvernance de la forêt française|30/08/2022|Mme Sophie Blanc appelle l'attention de M. le ministre de l'agriculture et de la souveraineté alimentaire sur le point suivant : pratiquement 50 000 hectares de forêt ont déjà brulé cette année et ce chiffre va certainement augmenter dans les semaines à venir. La flotte française d'avions bombardiers d'eau est exsangue et présente un taux de disponibilité alarmant. Le corps des sapeurs-pompiers fait face lui aussi à des tensions en terme de disponibilité et, pour couronner une situation déjà compliquée, l'Office national des forêts se trouve être dépourvu de directeur depuis le printemps. C'est pourquoi elle lui demande ce que le Gouvernement compte faire pour conduire et déterminer la politique forestière de la France, améliorer les capacités de gouvernance et opérationnelles des administrations qui participent à la gestion, l'entretien et le sauvetage des forêts françaises, selon quel calendrier et sous quelles modalités.
949|Rassemblement National|M. Frédéric Boccaletti|Transition écologique et cohésion des territoires|chasse et pêche|Les fédérations de chasse face au montant des dégâts causés par le grand gibier|30/08/2022|M. Frédéric Boccaletti interroge M. le ministre de la transition écologique et de la cohésion des territoires concernant un soutien aux fédérations de chasse, face à l'ampleur des montants des dégâts causés par le grand gibier. M. le ministre, nulle question ici de polémiquer sur la pratique de la chasse en France. Car, que l'on soit pour ou contre, il est un rôle essentiel confié aux fédérations départementales de chasseurs : la régulation des populations de grands gibiers sur le territoire. La loi de finance de 1968 oblige les chasseurs à payer les dégâts liés au grand gibier. À l'époque, les montants des dégâts étaient supportables pour les fédérations de chasse. Il n'en est plus de même aujourd'hui, avec une prolifération massive des sangliers notamment et des montants à indemniser qui explosent (600 000 euros pour la saison 2021-2022 dans le Var malgré 20 000 sangliers tués et une autorisation préfectorale de chasse du 1er juin au 31 mars). Interpellé par le président de la fédération de chasseurs du Var, M. Laurent Faudon, sur l'urgence à modifier la loi pour éviter la mort économique de plusieurs fédérations départementales, voire à terme de la fédération nationale, des solutions émergent. Elles mettraient fin à des incohérences dans l'indemnisation et responsabiliseraient les différents acteurs pour une meilleure prévention, une meilleure cohésion menant à une politique de régulation plus efficace. Les chasseurs varois exploitent seulement 70 % du territoire, mais doivent indemniser les dégâts sur 100 %, y compris lorsqu'ils ont lieu sur des communes, des réserves ou des propriétés dont l'entrée leur est refusée. Les maires et les propriétaires qui interdisent aux chasseurs la régulation du grand gibier participent activement à leur prolifération. Ils devraient en assumer les conséquences. Ils envisageraient alors une vraie prévention ou laisseraient les chasseurs opérer. Débroussailler les abords des terres cultivées permet de limiter le nombre d'habitats pour les sangliers. Les chasseurs indemnisent des agriculteurs ou des propriétaires qui refusent de débroussailler. C'est un manquement qui devrait les contraindre à en assumer les conséquences. Les frais de dossier d'indemnisations sont de 25 millions d'euros par an pour la France. Les fédérations départementales ne montent pas les dossiers mais doivent en assumer le coût. Dispatcher ce montant autrement offrirait un bol d'air à la trésorerie des fédérations. Enfin, le coût de la prévention contre les dégâts du grand gibier (grillages, clôtures électrifiées, répulsifs) s'élève à 30 millions d'euros par an et est assumé lui aussi par les fédérations de chasse. Ne pourrait-on pas envisager d'impacter une ligne budgétaire de son ministère ? Peut-être en créant une subvention pour les propriétaires terriens qui font l'effort de se protéger ou à destination des fédérations de chasse. Le montant national des dégâts pris en charge par les chasseurs est de 77 millions d'euros par an (loin d'être couvert par les 28 millions d'euros de subventions nationales à la fédération depuis 2017). Les chasseurs varois ont accepté des augmentations de tarifs fortes pour pratiquer encore leur passion. Mais le nombre d'adhérents baisse (- 300 l'année dernière). Face à l'ensemble de ces éléments, il lui demande quels sont les engagements qu'il peut prendre envers les fédérations de chasse car plusieurs d'entre elles se retrouvent actuellement déficitaires.
950|Rassemblement National|Mme Stéphanie Galzy|Économie, finances, souveraineté industrielle et numérique|collectivités territoriales|Pour lutter contre l'augmentation des frais de cantines scolaires|30/08/2022|Mme Stéphanie Galzy interroge M. le ministre de l'économie, des finances et de la souveraineté industrielle et numérique sur la revalorisation de la dotation aux collectivités en fonction de l'inflation pour lutter contre l'augmentation du prix des cantines scolaires. Selon Philippe Laurent, vice-président de l'AMF, l'augmentation des frais de cantines scolaires pourrait être comprise entre « 5 et 10 % ». Dans le même temps, le Syndicat national de la restauration collective (SNRC) demande une revalorisation des prix d'au moins 7 %. Face à ces hausses, les collectivités, en particulier les communes rurales comme dans les hauts-cantons de l'Hérault, se retrouvent devant un dilemme désagréable, car elles ne peuvent absorber ce surcoût dans leur budget. Soit, elles doivent réduire les portions, en particulier de viande, pour réduire les coûts ; ce qui n'est ni souhaitable ni envisageable. Soit, elles doivent répercuter l'inflation sur le prix de la cantine scolaire. Pour une famille avec deux enfants, cela peut représenter un surcoût de 150 à 200 euros par an. Or Mme la députée rappelle à M. le ministre que les familles à revenus modestes sont les premières touchées par l'inflation, en particulier de l'énergie (carburants, chauffage) et du caddie de courses. Elles ne peuvent se permettre de perdre à nouveau du pouvoir d'achat. Par ailleurs, la cantine scolaire est le lieu d'apprentissage de la bonne alimentation. Une augmentation des frais de cantine augmente le risque de désinscription des enfants des familles modestes. Or ces derniers sont deux fois plus touchés par le risque d'obésité que les enfants issus des familles aisées. Selon l'étude « Enquête épidémiologique nationale sur le surpoids et l'obésité pour la Ligue contre l'Obésité », Odoxa-Ligue contre l'obésité, juin 2021, « 75 % des enfants en surpoids ou en obésité sont issus de catégories populaires et inactives (ouvriers, employés, chômeurs, hommes/femmes au foyer...) ». Garantir des frais de cantine bas est donc un enjeu de justice sociale et de santé public. En conséquence, elle lui demande si le Gouvernement augmentera les dotations à destination des collectivités locales afin de leur permettre de ni augmenter les frais de cantine scolaires, ni de réduire la qualité des repas servis.
951|Les Républicains|M. Marc Le Fur|Éducation nationale et jeunesse|communes|Communes sans écoles : coût du passage de l'instruction obligatoire de 6 à 3 ans|30/08/2022|M. Marc Le Fur appelle l'attention de M. le ministre de l'éducation nationale et de la jeunesse sur les conséquences financières du passage de l'instruction obligatoire de 6 à 3 ans pour les communes dépourvues de la compétence scolaire. En l'absence d'école, ces communes participent en effet aux frais de scolarisation des enfants domiciliés sur leur territoire. L'abaissement de l'âge de l'instruction obligatoire a donc des conséquences importantes sur leur budget. L'impact financier de cette réforme est d'autant plus fort pour celles-ci, qu'elles ne peuvent pas recevoir de ressources complémentaires de la part des services de l'État puisqu'elles ne disposent pas de la compétence scolaire. Depuis la période covid, beaucoup de communes rurales connaissent un regain démographique et enregistrent l'arrivée de familles avec enfants. Si c'est une bonne nouvelle pour la ruralité, il n'en demeure pas moins que le phénomène accentue le coût de la participation aux frais de scolarisation dus par la commune aux communes voisines, qui elles disposent de la compétence scolaire. Au vu de ces éléments, il ne serait pas illogique que les communes concernées puissent percevoir les ressources versées par l'État pour compenser le surcoût engendré par le passage de l'instruction obligatoire de 6 à 3 ans ou a minima que le montant de ces aides soit déduit de la participation payée par elles. C'est pourquoi il lui demande quelles mesures entend prendre le Gouvernement afin que les communes sans école ne soient pas lésées par cette réforme.
952|Rassemblement National|M. Romain Baubry|Économie, finances, souveraineté industrielle et numérique|communes|Quelles aides pour les communes et particuliers touchés par les incendies ?|30/08/2022|M. Romain Baubry interroge M. le ministre de l'économie, des finances et de la souveraineté industrielle et numérique sur l'aide apportée aux communes et aux particuliers touchés par les incendies. En 2022, ces drames se sont multipliés en France. De sombres records ont ainsi été battus en la matière, puisqu'il a été révélé que 50 000 hectares de végétation ont déjà été détruits par les 256 départs de feux comptabilisés depuis janvier 2022. Le département des Bouches-du-Rhône, où M. le député est élu, est le plus touché par les flammes en Provence-Alpes-Côte-d'Azur. Un incendie y a encore débuté lundi 22 août 2022, dans le massif des Alpilles et a mobilisé plus de 600 pompiers avant d'être fixé le lendemain matin. Dans sa circonscription, les communes de Graveson et Barbentane ont été grièvement attaquées par les flammes. Toutes les communes dans cette situation doivent être aidées, à hauteur des dommages qu'ont entraîné les feux sur leur territoire, en prenant en compte les aspects économiques et touristiques. M. le député s'enquiert donc auprès du Gouvernement sur les mesures qu'il compte prendre pour prêter main forte aux communes dans la restauration des territoires endommagés. En parallèle, de nombreux particuliers sont victimes des incendies et doivent désormais se reconstruire, après la perte de leurs proches et de leurs biens. Ils étaient des dizaines de milliers, contraints d'évacuer leur domicile ces dernières semaines. Il lui demande donc également quelles solutions il entend mettre en œuvre en leur faveur.
953|Rassemblement National|Mme Stéphanie Galzy|Transition écologique et cohésion des territoires|eau et assainissement|Incitation à la réalisation d'investissement pour mieux capter les eaux de pluie|30/08/2022|Mme Stéphanie Galzy appelle l'attention de M. le ministre de la transition écologique et de la cohésion des territoires sur la gestion des eaux de pluie. En effet, de très nombreux bâtiments, en particulier dans le Sud de la France où les précipitations sont plus rares, ne sont pas équipés pour récupérer et stocker les eaux de pluies qui tombent sur ces derniers. Or la France est dans un contexte climatique où les épisodes de sécheresses sont plus nombreux et plus graves et où le stress hydrique progresse de manière alarmante. Cette eau de pluie peut être utilisée pour par exemple arroser le jardin et c'est autant de litres économisés sur l'eau courante et les nappes phréatiques. Améliorer le taux de captation et de réutilisation de eaux de pluie est devenu donc un enjeu politique. Elle appelle son attention sur la pertinence de créer des incitations pour les particuliers et les entreprises à la réalisation d'investissements à destination de la captation, du stockage et de l'utilisation des eaux de pluie.
954|Démocrate (MoDem et Indépendants)|Mme Delphine Lingemann|Transition écologique et cohésion des territoires|eau et assainissement|Installation de dispositifs d'accès à l'eau potable dans l'espace public|30/08/2022|Mme Delphine Lingemann appelle l'attention de M. le ministre de la transition écologique et de la cohésion des territoires sur l'importance d'inciter les communes, en période estivale, à installer dans l'espace public des dispositifs d'accès à l'eau potable. Ces installations dans l'espace public compléteraient la loi n° 2020-105 du 10 février 2020 relative à la lutte contre le gaspillage et à l'économie circulaire. Cette loi impose depuis le 1er janvier 2022 aux établissements recevant du public (ERP) d'être équipés d'au moins une fontaine d'eau potable accessible au public. Les parcs et jardins publics ne sont pas soumis à cette législation puisqu'ils ne sont pas considérés comme des ERP, mais plutôt comme des IOP (installations ouvertes au public). Par ailleurs, la France se donne également pour objectif de réduire de 50 % d'ici à 2030 le nombre de bouteilles en plastique à usage unique pour les boissons mises sur le marché L'accès gratuit à une source d'eau potable dans les espaces publics participerait à réduire l'utilisation des contenants à usage unique, comme les bouteilles d'eau. En parallèle, selon les chiffres de l'Observatoire de la consommation responsable publiés en 2021, plus de 30 % des Français déclarent avoir réduit ou supprimé leur consommation d'eau plate en bouteille par rapport à il y a deux ou trois ans. De plus, environ un tiers des Français déclare utiliser régulièrement une gourde. Son utilisation est beaucoup plus répandue auprès des plus jeunes puisqu'elle concerne 70 % des 18-24 ans et 61 % des 25-34 ans. Enfin, le droit à l'eau pour tous serait donc davantage affirmé. Ces installations permettraient à tous un accès à l'eau potable en période de forte chaleur alors que l'achat d'eau en bouteille a un coût élevé. Au regard de l'évolution des usages et des enjeux environnementaux, notamment la nécessité de réduire les déchets plastiques et d'offrir à tous un accès gratuit à de l'eau potable en période estivale, elle souhaiterait connaître les dispositifs et les mesures envisagées par le Gouvernement pour inciter et soutenir les communes dans l'installation de dispositifs d'accès à l'eau potable dans l'espace public.
955|Renaissance|M. Daniel Labaronne|Transition écologique et cohésion des territoires|eau et assainissement|Inventaire des sites souterrains de stockage d'eau|30/08/2022|M. Daniel Labaronne interroge M. le ministre de la transition écologique et de la cohésion des territoires sur l'utilisation d'anciennes caves souterraines devenues sites de stockage d'eau. En Indre-et-Loire par exemple, le comité départemental de spéléologie a repéré quelques anciennes champignonnières transformées avec l'arrêt de l'exploitation et des pompages en véritables châteaux d'eau souterrains. Ces cavités souterraines constituent des réserves de plusieurs milliers de mètres cubes d'eau, situées à quelques dizaines de mètres sous la surface du sol et ne sont pas répertoriées par le Bureau de recherches géologiques et minières (BRGM) ou d'autres organismes. Ces cavités sont pour la plupart privées mais sont souvent abandonnées et inutilisées. D'importantes quantités d'eau ont ennoyé les galeries abandonnées suite au manque d'entretien du drainage ou à l'arrêt des pompages. Cette eau pourrait être utilisée en période de grande sécheresse comme celles que l'on a connues récemment. Pour cela, il faudrait qu'un organisme comme le BRGM, le Centre d'études et d'expertise sur les risques, l'environnement, la mobilité et l'aménagement (CEREMA) ou l'institut national de l'environnement industriel et des risques (INERIS) dresse la liste de ces stockages naturels d'eau souterraine et qu'avec l'accord des propriétaires, les volumes d'eau et leur taux de recharge soient estimés durant la période estivale, avant d'envisager des captages et leurs éventuelles conséquences sur la stabilité des sites souterrains. Si les périodes de sécheresse devaient malheureusement devenir la norme, il serait souhaitable d'entamer ce travail dès aujourd'hui. Il souhaiterait par conséquent savoir quel organisme pourrait prendre en charge cette action de répertoriage et quel processus d'exploitation pourrait être envisagé.
956|Rassemblement National|M. Nicolas Meizonnet|Transition écologique et cohésion des territoires|eau et assainissement|Perte d'eau potable due à la vétusté du réseau de canalisations français|30/08/2022|M. Nicolas Meizonnet alerte M. le ministre de la transition écologique et de la cohésion des territoires sur les pertes constatées dans le réseau de distribution d'eau potable liées, notamment, à des défauts de canalisations. M. le député constate, après la publication d'un rapport de l'Office français de la biodiversité et de l'Observatoire des services publics d'eau et d'assainissement, que la vétusté des infrastructures de transports d'eau potable conduit à des pertes non négligeables sur le réseau français. Dans son rapport, l'OFB indique que près d'un milliard de litres d'eau est perdu chaque année, une situation véritablement préoccupante au vu notamment des sècheresses et pénuries d'eau que la France a connu l'été 2022. Selon l'Observatoire, c'est l'équivalent de la consommation annuelle de 18 millions de personnes qui serait ainsi perdu. À l'échelle nationale, sur 5 litres d'eau injectés dans le réseau, seulement 4 arrivent jusqu'au consommateur. En France métropolitaine, ce sont les départements ruraux qui sont les plus touchés par ce phénomène : 25 à 36 % de l'eau est perdue dans 24 départements, dont le Gard. La quasi-totalité des départements d'outre-mer en souffrent également avec notamment 37,6 et 43,3 % de pertes respectivement pour la Guadeloupe et la Martinique. En comparaison, Paris et sa petite couronne ne subissent que 9,7 % de pertes dans leur réseau d'eau. L'explication donnée par l'OFB vient corroborer ces données : l'Office explique que certaines installations du réseau d'eau dans les territoires ruraux sont très anciennes, ayant parfois 50, 60 voire 70 ans et que les établissements publics gestionnaires (communes, EPCI, syndicats mixtes...) n'ont pas les moyens suffisants pour renouveler ces infrastructures sans que cela ne pèse trop sur la facture des consommateurs. Ainsi, moins de 1 % du réseau français est renouvelé chaque année. M. le député estime que le Gouvernement doit se saisir de ce problème majeur afin de permettre aux collectivités et surtout celles ayant des moyens plus limités, à intervenir pour renouveler plus rapidement leur réseau d'eau, sans que cela ne se répercute sur le prix pour le consommateur. M. le député souhaiterait qu'une concertation avec les acteurs locaux soit menée sur ce sujet afin d'anticiper leurs besoins. À la lumière de ces éléments, il lui demande ce qu'il compte mettre en place.
957|Rassemblement National|M. Pierrick Berteloot|Intérieur et outre-mer|élus|Assurance des permanences des députés|30/08/2022|M. Pierrick Berteloot appelle l'attention de M. le ministre de l'intérieur et des outre-mer sur les difficultés rencontrées par les députés pour assurer les locaux destinés à leurs permanences. En effet, la fonction de député nécessite un lieu où ils peuvent recevoir leurs administrés et recueillir leurs doléances. Malheureusement, ces locaux faisant, de plus en plus souvent, l'objet de dégradations, il devient extrêmement difficile de les assurer. De plus, quand ils parviennent à l'être, le coût des cotisations devient exorbitant, nuisant gravement à la vie démocratique locale. Dans ce contexte, il devient grandement difficile d'exercer sereinement l'activité de député. Il demande quelles mesures le Gouvernement compte adopter afin d'alléger les conditions de souscription et de faciliter la signature des contrats d'assurances pour les permanences des députés.
958|Démocrate (MoDem et Indépendants)|Mme Louise Morel|Transition énergétique|énergie et carburants|Accès aux aides d'État pour le chauffage au fioul en cas de mutualisation|30/08/2022|Mme Louise Morel appelle l'attention de Mme la ministre de la transition énergétique sur la problématique de l'accès à l'aide exceptionnelle de soutien aux particuliers utilisant le fioul comme chauffage en cas de mutualisation de l'achat de fioul pour réduire les coûts, ainsi que sur la rétroactivité de cette aide. En effet, pour faire face à la flambée des prix de l'énergie et des combustibles et en prévision de l'hiver à venir, de nombreux citoyens ont décidé de mutualiser l'achat de leurs moyens de chauffage (fioul, pellets de bois etc.). De cette manière, via l'augmentation du volume de commande, ils ont pu obtenir des réductions de prix intéressantes auprès des distributeurs. Or le projet de loi de finances rectificative pour 2022 a mis en place « une aide exceptionnelle de soutien aux particuliers utilisant le fioul comme chauffage ». Aussi, elle lui demande dans quelle mesure cette aide pourra être accordée, y compris rétroactivement, d'une part aux citoyens ayant anticipé leurs achats de fioul pour l'hiver prochain et d'autre part aux citoyens ayant payé via ces stratégies d'économies de mutualisation.
959|Renaissance|Mme Patricia Lemoine|Économie, finances, souveraineté industrielle et numérique|énergie et carburants|Hausse des tarifs de l'électricité pour les entreprises|30/08/2022|Mme Patricia Lemoine interroge M. le ministre de l'économie, des finances et de la souveraineté industrielle et numérique sur l'augmentation massive des tarifs de l'électricité constatée par un certain nombre d'entreprises pour l'année 2023. La guerre en Ukraine a engendré de nombreuses conséquences sur le plan économique, avec une augmentation particulièrement forte du coût de la vie, à travers notamment la hausse du prix de l'énergie. Pour l'année 2022, le Gouvernement a su rapidement réagir en mettant en place un bouclier tarifaire, permettant de protéger les particuliers en contenant la hausse du prix de l'électricité à un maximum de 4 %. Toutefois, alors que l'année 2023 approche, de nombreuses entreprises s'inquiètent déjà des tarifs annoncés par les différents fournisseurs d'électricité qui présenteraient des propositions aux coûts multipliés jusqu'à huit fois le montant de l'année précédente. Cette inquiétude, dernièrement évoquée par le président du groupe Système U, se constate également auprès des PME, dans les territoires. C'est notamment le cas au cœur de la 5ème circonscription de Seine-et-Marne où des porteurs de projets innovants verraient leur facture d'électricité passer de 100 000 euros par an à près de 830 000 euros en 2023, soit un montant absolument impossible à supporter et qui signifierait la faillite de l'entreprise. Elle lui demande donc quelles mesures sont actuellement envisagées par le Gouvernement pour aider les entreprises à faire face à ces coûts insurmontables qui risquent d'engendrer de nombreuses faillites, des pertes d'emplois et des répercussions massives de coûts sur le consommateur en bout de chaîne.
960|Écologiste - NUPES|Mme Lisa Belluco|Transition écologique et cohésion des territoires|énergie et carburants|Pénurie et hausse du prix des granulés de bois ou pellets|30/08/2022|Mme Lisa Belluco interroge M. le ministre de la transition écologique et de la cohésion des territoires sur l'augmentation du prix des pellets ou granulés de bois et sur le risque de pénurie. Énergie renouvelable, les pellets utilisés par les particuliers pour le chauffage participent à la réduction des émissions de gaz à effet de serre. Cette filière de la biomasse-énergie a été fortement soutenue en subventionnant les installations de poêles à granulés de bois. Aujourd'hui, 1,5 million de foyers sont ainsi équipés pour utiliser le bois-énergie de manière performante. La production française est insuffisante pour répondre à la demande et la filière est donc dépendante d'autres pays, notamment de l'est de l'Europe. Depuis la crise ukrainienne, le prix de la tonne de granulés de bois a fortement augmenté et certains fournisseurs redoutent la rupture de stock. Les pellets n'ont cependant pas fait partie du bouclier tarifaire mis en place pour le gaz et l'électricité, ce qui est regrettable. En effet, au vu de l'augmentation des tarifs, de nombreux utilisateurs pourraient être tentés d'utiliser une énergie fossile (gaz, fioul etc.) non renouvelable et émettrice de gaz à effet de serre et autres polluants. Elle lui demande quelles mesures sont envisagées pour sécuriser l'approvisionnement en granulés de bois, sans transiger sur la gestion durable des forêts françaises durement touchées par la sécheresse actuelle et pour limiter la hausse des prix, à l'instar des sources d'énergie qui ont fait l'objet du bouclier tarifaire.
961|Démocrate (MoDem et Indépendants)|Mme Louise Morel|Transition énergétique|énergie et carburants|Quotas sur les exportations de bois pour garantir la souveraineté énergétique|30/08/2022|Mme Louise Morel appelle l'attention de Mme la ministre de la transition énergétique sur la problématique de la flambée des prix du bois et notamment des pellets de bois comme combustible de chauffage pour les particuliers et sur les risques potentiels de pénuries sur cette matière première. En effet, dans un contexte où de nombreux acteurs économiques se tournent vers le bois comme combustible pour pallier notamment la pénurie de gaz et l'envol des prix corrélé, le prix des pellets de bois a quant à lui presque doublé en un an pour les particuliers et le risque de pénurie pour cet hiver est bien réel. En outre, face à ce risque, nombreux sont les particuliers et les entreprises, françaises ou étrangères, à faire du surstockage de bois ou de pellets de bois, accentuant encore le risque de pénurie. Pour autant, ce combustible reste l'un des moins chers du marché à l'heure actuelle, notamment du fait de la flambée des prix des autres énergies et demeure dans cette mesure une alternative énergétique intéressante. Par conséquent, la mise en place de quotas en fonction des besoins réels ainsi qu'une limitation des exportations de bois vers l'étranger semblent être des mesures appropriées à mettre en place d'urgence. Aussi, elle lui demande ce qu'elle entend mettre en place pour éviter la pénurie de pellets de bois pour l'hiver prochain pour les concitoyens utilisant ce mode de chauffage.
962|Les Républicains|M. Marc Le Fur|Éducation nationale et jeunesse|enseignement|Demandes d'instruction à domicile pour l'année scolaire 2022-2023|30/08/2022|M. Marc Le Fur appelle l'attention de M. le ministre de l'éducation nationale et de la jeunesse sur le sort réservé aux demandes d'instruction à domicile formulées par les familles pour l'année scolaire 2022-2023. En application de la loi n° 2021-1109 du 24 août 2021, l'instruction en famille est désormais soumise à un régime d'autorisation préalable et non plus à une simple déclaration. C'est pourquoi il souhaiterait connaître, à l'échelle nationale et pour chacune des 30 académies que compte le pays, le nombre de demandes formulées et le nombre d'autorisations effectivement accordées. Il souhaiterait également connaître, à l'échelle nationale et par académie, les principaux motifs qui ont conduit aux refus prononcés par l'administration.
